,url_num_hyphens_dom,url_path_len,url_domain_len,url_hostname_len,url_num_underscores,url_query_len,url_num_query_para,url_entropy,html_num_tags('script'),html_num_tags('embed'),html_num_tags('object'),html_num_tags('body'),html_num_tags('form'),html_num_tags('a'),Result_v1
0,0.0,8.0,15.0,15.0,0.0,0.0,0.0,4.260332601,7.0,0.0,0.0,1.0,0.0,0.0,-1
1,0.0,58.0,17.0,17.0,0.0,0.0,0.0,4.636106694,18.0,0.0,0.0,1.0,0.0,21.0,1
2,0.0,4.0,16.0,16.0,0.0,0.0,0.0,3.708966083,33.0,0.0,0.0,1.0,3.0,70.0,1
3,0.0,13.0,14.0,14.0,0.0,0.0,0.0,4.02559186,15.0,0.0,0.0,1.0,1.0,55.0,1
4,2.0,12.0,27.0,27.0,0.0,0.0,0.0,4.631832608,10.0,0.0,0.0,1.0,0.0,321.0,1
5,0.0,0.0,18.0,18.0,0.0,0.0,0.0,3.94346519,4.0,1.0,1.0,1.0,0.0,18.0,1
6,0.0,30.0,19.0,19.0,0.0,0.0,0.0,4.251365138,8.0,0.0,0.0,1.0,1.0,4.0,-1
7,0.0,0.0,25.0,25.0,0.0,0.0,0.0,3.890319531,22.0,0.0,0.0,1.0,1.0,155.0,1
8,0.0,22.0,17.0,17.0,0.0,0.0,0.0,4.417173848,17.0,0.0,0.0,1.0,2.0,29.0,1
9,0.0,1.0,18.0,18.0,0.0,0.0,0.0,4.772055209,3.0,0.0,0.0,1.0,0.0,2.0,-1
10,1.0,19.0,14.0,14.0,0.0,0.0,0.0,4.222690419,36.0,0.0,0.0,1.0,5.0,214.0,-1
11,0.0,20.0,13.0,13.0,0.0,0.0,0.0,4.196439345,8.0,0.0,0.0,1.0,0.0,73.0,1
12,0.0,91.0,23.0,23.0,1.0,21.0,1.0,4.701764249,13.0,0.0,0.0,1.0,3.0,31.0,-1
13,0.0,0.0,20.0,20.0,0.0,0.0,0.0,3.940759833,13.0,0.0,0.0,1.0,1.0,76.0,1
14,0.0,31.0,20.0,20.0,0.0,0.0,0.0,4.577555779,0.0,0.0,0.0,1.0,0.0,3.0,1
15,0.0,25.0,12.0,12.0,0.0,0.0,0.0,4.743300369,3.0,0.0,0.0,1.0,0.0,1.0,1
16,0.0,41.0,27.0,27.0,1.0,0.0,0.0,4.14464936,2.0,0.0,0.0,1.0,1.0,8.0,-1
17,0.0,23.0,20.0,20.0,0.0,0.0,0.0,4.166293108,18.0,0.0,0.0,1.0,9.0,163.0,-1
18,0.0,28.0,10.0,10.0,1.0,0.0,0.0,4.152638374,12.0,0.0,0.0,1.0,1.0,13298.0,1
19,0.0,0.0,18.0,15.0,0.0,0.0,0.0,3.243074189,5.0,0.0,0.0,1.0,1.0,0.0,1
