date,seoul_new_patient,busan_new_patient,seoul_total_patient,busan_total_patient
2020-09-23,40,7,5056,397
2020-09-24,39,7,5095,404
2020-09-25,57,3,5152,407
2020-09-26,26,2,5178,409
2020-09-27,34,3,5212,412
2020-09-28,19,1,5231,413
2020-09-29,11,3,5242,416
2020-09-30,51,5,5293,421
2020-10-01,30,6,5323,427
2020-10-02,11,18,5334,445
2020-10-03,26,8,5360,453
2020-10-04,16,5,5376,458
2021-02-04,172,26,24750,2828
2021-02-05,126,33,24876,2861
2021-02-06,143,14,25019,2875
2021-02-07,144,9,25163,2884
2021-02-08,112,9,25275,2893
2021-02-09,90,9,25365,2902
2021-02-10,175,19,25540,2921
2021-02-11,183,29,25723,2950
2021-02-12,158,27,25881,2977
2021-02-13,136,27,26017,3004
2021-02-14,152,15,26169,3019
2021-09-11,659,35,85803,11900
2021-09-12,658,43,86461,11943
2021-09-13,556,35,87017,11978
2021-09-14,539,38,87556,12016
2021-09-15,808,43,88364,12059
2021-09-16,719,58,89083,12117
2021-09-17,746,52,89829,12169
2021-09-18,703,52,90532,12221
2021-09-19,742,46,91273,12267
2021-09-20,583,47,91856,12314
2021-09-21,676,45,92532,12359
2021-09-22,644,38,93176,12397
2022-01-22,1591,236,249065,28947
2022-01-23,1694,292,250758,29239
2022-01-24,1679,298,252437,29537
2022-01-25,1724,343,254160,29880
2022-01-26,3178,563,257330,30443
2022-01-27,3429,741,260757,31184
2022-01-28,3991,821,264748,32005
2022-01-29,4199,808,268947,32813
2022-01-30,4185,851,273132,33664
2022-01-31,4193,771,277325,34435
2022-02-01,4131,980,281456,35414
2022-02-02,4209,1267,285665,36681
2022-09-02,15564,4769,4589795,1408249
2022-09-03,13899,4172,4603647,1412418
2022-09-04,11939,3685,4615586,1416103
2022-09-05,5319,1392,4620905,1417495
2022-09-06,18779,6086,4639649,1423578
2022-09-07,14538,3675,4654166,1427250
